toxic	neutral	detoxified_bloomz	detoxified_bloomz_lang_prompt	detoxified_bloomz_fs	detoxified_mt0	detoxified_mt0_lang_prompt	detoxified_gpt-3.5	detoxified_gpt-3.5_lang_prompt	detoxified_gpt-3.5_fs
استعد لبعض الخراء الجاد.	استعد لبعض المشكلات الجادة.	Be prepared for some serious b****.		استعد لبعض المشكلات الجادة.	استعد لبعض النقد الجاد.	استعد للكثير من الشجاعة.	استعد لبعض العمل الجاد.	استعد لبعض العمل الجاد.	استعد لبعض التحديات الجادة.
اللعنة، العالم الحقيقي معقد؟	حقا، العالم الحقيقي معقد؟	Fuck, the real world is complicated?	The world is complicated.	حقا، العالم الحقيقي معقد؟	هل العالم الحقيقي معقد؟	هل العالم الحقيقي معقد؟	يبدو أن العالم الحقيقي معقد، أليس كذلك؟	الحقيقة، العالم معقد للغاية، أليس كذلك؟	حقا، العالم الحقيقي معقد؟
ولكن حقا، يحتاج الجميع للتخطيه، انتهت الحرب منذ 51 سنة ملعونة.	ولكن حقا، يحتاج الجميع للتخطيه، انتهت الحرب منذ 51 سنة.	But really, everyone needs to get over it. The war ended 51 years ago, and it's time to move on.	The war is over, the war is over.	ولكن حقا، يحتاج الجميع للتخطي، انتهت الحرب منذ 51 سنة.	ولكن حقا، يحتاج الجميع إلى التخطيط، انتهت الحرب منذ 51 سنة ملعونة.	ولكن حقا، يحتاج الجميع للتخطيه، انتهت الحرب منذ 51 سنة ملعونة.	ولكن بالفعل، يجب على الجميع تجاوزها، انتهت الحرب منذ 51 سنة مضت.	وبالفعل، يجب على الجميع تجاوز ذلك، فقد انتهت الحرب منذ 51 عامًا ملعونة.	ولكن حقا، يحتاج الجميع للتغلب عليها، انتهت الحرب منذ 51 سنة.
أشاهد الخراء مرة أخرى هههه	كنت أشاهدك مرة أخرى. هههه	I see the shit again.		كنت أشاهدك مرة أخرى. هههه	أشاهد الخراء مرة أخرى	أشاهد الخراء مرة أخرى	أعيد مشاهدة الفيديو مرة أخرى هههه	أشاهد الفيديو مرة أخرى هههه	أرى الأمور بشكل مختلف هههه
إنه جنون خاصة وأن الأوروبيين دائما يشتكون من العنصرية هنا في الولايات المتحدة	لا أفهم لماذا الأوروبيين يميلون إلى الشكوى من العنصرية عندما يكونون في الولايات المتحدة	إنه جنون ، خاصة وأن الأوروبيين دائما يشتكون من العنصرية هنا في الولايات المتحدة .	The European Union is always complaining about racism in the United States.	لا أفهم لماذا الأوروبيين يميلون إلى الشكوى من العنصرية عندما يكونون في الولايات المتحدة	إنه جنون خاصة وأن الأوروبيين دائما يشكون من العنصرية هنا في الولايات المتحدة.	إنه جنون خاصة وأن الأوروبيين دائما يشتكون من العنصرية هنا في الولايات المتحدة	إنها ظاهرة مثيرة للدهشة أن الأوروبيين يعبرون دائمًا عن استيائهم من مشكلة العنصرية هنا في الولايات المتحدة.	إنه أمر مثير للدهشة أن الأوروبيين يشتكون دائمًا من العنصرية هنا في الولايات المتحدة.	 يبدو أن الأوروبيين يعانون دائمًا من مشكلة العنصرية هنا في الولايات المتحدة، وهو أمر مثير للدهشة.
توقف عن التقاط نقاط الحديث للأشخاص ذوي المعلومات القليلة وقم ببعض البحث اللعين.	توقف عن التقاط نقاط الحديث للأشخاص ذوي المعلومات القليلة وقم ببعض البحث.	Stop picking on people who don't know much and do some damn research.		توقف عن التقاط نقاط الحديث للأشخاص ذوي المعلومات القليلة وقم ببعض البحث اللعين.	توقف عن التقاط نقاط الحديث للأشخاص ذوي المعلومات القليلة وقم ببعض البحث اللعين.	توقف عن التقاط نقاط الحديث للأشخاص ذوي المعلومات القليلة وقم ببعض البحث اللعين.	 يرجى توقف عن تجاهل الأشخاص الذين لديهم معرفة محدودة والبدء في البحث بدلاً من ذلك.	توقف عن تقديم المعلومات للأشخاص الذين لديهم معرفة محدودة وابدأ في البحث الجاد.	توقف عن التحدث بطريقة متعالية لأولئك الذين لديهم معرفة محدودة وابدأ في البحث بدلاً من ذلك.
اللعين سيسكو باع لهم الأجهزة.	سيسكو باع لهم الأجهزة.	The Devil sold them the devices.	The Devil sold them the devices.	اللعنة سيسكو باع لهم الأجهزة.	سيسكو اللعين باع لهم الأجهزة.	سيسكو اللعين باع لهم الأجهزة.	سيسكو قدم لهم الأجهزة للبيع.	قامت شركة سيسكو ببيع الأجهزة لهم.	سيسكو باع لهم الأجهزة، لعنتهم.
رفيق الغرفة الخاص بي هو ألم في مؤخرتي وأذني.	رفيق الغرفة الخاص بي مزعج حقا.	My roommate is a pain in the ass. He is a pain in the ass.	My roommate is a pain in the ass and a pain in the ear.	رفيقي في الغرفة هو ألم في مؤخرتي وأذني.	رفيق الغرفة الخاص بي هو ألم في مؤخرتي وأذني.	رفيق الغرفة الخاص بي هو ألم في مؤخرتي وأذني.	صديق غرفتي يسبب لي بعض الإزعاج في منطقة الورك والأذن.	رفيق غرفتي يسبب لي شعورًا بالألم في منطقة الورك والأذن.	رفيق الغرفة الخاص بي يسبب لي بعض الإزعاج في مؤخرتي وأذني.
ماذا عن حكومة الولايات المتحدة اللعينة؟	ماذا عن حكومة الولايات المتحدة؟	What about the U.S. government?	What about the U.S. government?	ماذا عن حكومة الولايات المتحدة؟	ماذا عن حكومة الولايات المتحدة اللعينة؟	ماذا عن حكومة الولايات المتحدة اللعينة؟	ما رأيك في حكومة الولايات المتحدة؟	ماذا عن حكومة الولايات المتحدة المثيرة للجدل؟	ماذا عن حكومة الولايات المتحدة؟
اللعنة، أتمنى أن يأتي.	أتمنى أن يأتي.	I wish he would come.	I wish I could come.	أتمنى أن يأتي.	لعنة، أتمنى أن يأتي.	اللعنة، أتمنى أن يأتي.	يا ليت يحدث، أتمنى ذلك.	اللهم، أتمنى أن يأتي الخير.	اللعنة، أتمنى أن يحدث.
