toxic	neutral	detoxified_bloomz	detoxified_bloomz_lang_prompt	detoxified_bloomz_fs	detoxified_mt0	detoxified_mt0_lang_prompt	detoxified_gpt-3.5	detoxified_gpt-3.5_lang_prompt	detoxified_gpt-3.5_fs
Gibt es ein verdammtes Problem damit?	Gibt es ein Problem damit?	Is there a problem with that?		Gibt es ein Problem damit?	No	No, there's no problem with that.	Gibt es ein Problem damit?	Gibt es ein Problem damit?	Gibt es ein Problem damit?
Oh Scheiße, ich fühle mich schrecklich, weil ich einfach angenommen habe, dass es eine Polizeischießerei war.	Oh, ich fühle mich schrecklich, weil ich einfach angenommen habe, dass es eine Polizeischießerei war.	Oh shit, I feel sick, because I just assumed that it was a police station.	Ich fühle mich schrecklich, weil ich einfach angenommen habe, dass es eine Polizeischießerei war.	Oh, ich fühle mich schrecklich, weil ich einfach angenommen habe, dass es eine Polizeischießerei war.	Oh Scheiße, ich fühle mich schrecklich, weil ich einfach angenommen habe, dass es eine Polizeischießerei war.	Oh Scheiße, ich fühle mich schrecklich, weil ich einfach angenommen habe, dass es eine Polizeischießerei war.	Oh nein, ich fühle mich schrecklich, weil ich fälschlicherweise angenommen habe, dass es eine Polizeiaktion war.	Oh nein, ich fühle mich wirklich schlecht, weil ich einfach angenommen habe, dass es eine Polizeischießerei war.	Oh, ich fühle mich schrecklich, weil ich einfach angenommen habe, dass es eine Polizeischießerei war.
Ja! So verdammt ärgerlich! Jetzt kann ich 56 Monate lang keinen Sex haben, wie zum Teufel! Lol.	Ja! Es ist ärgerlich! Jetzt kann ich 56 Monate lang keinen Sex haben, wie bitte! Lachend.	Yes! So true! I can not have sex for 56 months now, how to hell! Lol.	Ja! So schlecht! Jetzt kann ich 56 Monate lang keinen Sex haben, wie zum Teufel! Lol.	Ja! Es ist ärgerlich! Jetzt kann ich 56 Monate lang keinen Sex haben, wie bitte! Lachend.	Ja! So verdammt ärgerlich! Jetzt kann ich 56 Monate lang keinen Sex haben, wie zum Teufel! Lol.	Ja! So verdammt ärgerlich! Jetzt kann ich 56 Monate lang keinen Sex haben, wie zum Teufel! Lol.	Ja! Das ist wirklich ärgerlich! Jetzt muss ich 56 Monate lang auf Sex verzichten, das ist wirklich frustrierend! Lol.	Oh nein, das ist wirklich frustrierend! Jetzt muss ich 56 Monate lang auf Sex verzichten, das ist wirklich ärgerlich! Lol.	Ja! Es ist ärgerlich! Jetzt kann ich 56 Monate lang keinen Sex haben, wie bitte! Lachend.
Ein Ball ins Gesicht beim Fußball tut wirklich verdammt weh, es fühlt sich an, als wäre mein Kiefer aus der Verankerung.	Ein Ball ins Gesicht beim Fußball tut wirklich weh, es fühlt sich an, als wäre mein Kiefer aus der Verankerung.	A ball in the face is really something to be avoided, it feels like my Kiefer is being dragged into the mud.	Es ist schwer, wenn man sich nicht mit einem Ball in der Mitte des Fußballs beim Ballspiel beim Blick auf den Fußballer, wenn man sich nicht mit einem Ball in der Mitte des Fußballs beim Ballspiel beim Blick auf den Fußballer, wenn man sich nicht mit einem Ball in der Mitte des Fußballs beim Ballspiel beim Blick auf den Fußballer, wenn man sich nicht mit einem Ball in der Mitte des Fußballs beim Ballspiel beim Blick auf den Fußballer, wenn man sich nicht mit einem Ball in der Mitte des Fußballs beim Ballspiel beim Blick auf den Fußballer, wenn man sich nicht mit einem Ball in der Mitte des Fußballs beim Ballspiel beim Blick auf den Fußballer, wenn man sich nicht mit einem Ball in der Mitte des Fußballs beim Ballspiel beim Blick auf den Fußballer, wenn man sich nicht mit einem Ball in der Mitte des Fußballs beim Ballspiel beim Blick auf den	Ein Ball ins Gesicht beim Fußball tut wirklich weh, es fühlt sich an, als wäre mein Kiefer aus der Verankerung.	Ein Ball ins Gesicht beim Fußball tut wirklich verdammt weh, es fühlt sich an, als wäre mein Kiefer aus der Verankerung.	Ein Ball ins Gesicht beim Fußball tut wirklich verdammt weh, es fühlt sich an, als wäre mein Kiefer aus der Verankerung.	Ein Ball ins Gesicht beim Fußball kann ziemlich schmerzhaft sein, es fühlt sich an, als ob mein Kiefer ausgerenkt wäre.	Ein Treffer ins Gesicht beim Fußball kann ziemlich schmerzhaft sein, es fühlt sich an, als wäre mein Kiefer verschoben.	Ein Ball ins Gesicht beim Fußball tut wirklich weh, es fühlt sich an, als wäre mein Kiefer aus der Verankerung gerissen.
Ich habe gerade ein mentales Bild von jemandem mit einem großen Arschpaar Bolzenschneidern.	Ich habe gerade ein mentales Bild von jemandem mit einem großen Paar Bolzenschneidern.	I just had a mental image of someone with a big ass potato sack.	Ich habe gerade ein mentales Bild von jemandem mit einem großen Arschpaar Bolzenschneidern.	Ich habe gerade ein mentales Bild von jemandem mit einem großen Paar Bolzenschneidern.	Ich habe gerade ein mentales Bild von jemandem mit einem großen Arschpaar Bolzenschneidern.	Ich habe gerade ein mentales Bild von jemandem mit einem großen Arschpaar Bolzenschneidern.	Gerade ist mir ein Bild in den Kopf gekommen von jemandem, der mit einem großen Paar Bolzenschneidern arbeitet.	Mir ist gerade ein Bild von jemandem mit einem großen Paar Bolzenschneidern in den Sinn gekommen.	Ich habe gerade ein mentales Bild von jemandem mit einem großen Paar Bolzenschneidern.
Ich rufe deinen Arsch seit Montag an	Ich rufe dich seit Montag an	I called your name from the start.		Ich rufe deinen Arsch seit Montag an.	Ich rufe deinen Arsch seit Montag an	Seit Montag ruf ich dein Arsch an	Ich versuche seit Montag, dich zu erreichen.	Ich versuche seit Montag, dich zu erreichen.	Ich versuche seit Montag, dich anzurufen.
Ich wünschte, jemand würde mir helfen, endlich eine verdammte Entscheidung mit diesem Kickback und dieser verdammten Jam-Session zu treffen	Ich wünschte, jemand würde mir helfen, endlich diese Jam-Session zu entscheiden	I wish someone would help me, finally a real decision with this kickback and this real jam session.	Ich wünschte, jemand würde mir helfen, endlich eine verdammte Entscheidung mit diesem Kickback und dieser verdammten Jam-Session zu treffen	Ich wünschte, jemand würde mir helfen, endlich eine verdammte Entscheidung mit diesem Kickback und dieser verdammten Jam-Session zu treffen.	Ich wünschte, jemand würde mir helfen, endlich eine verdammte Entscheidung mit diesem Kickback und dieser verdammten Jam-Session zu treffen.	Ich wünschte, jemand würde mir helfen, endlich eine verdammte Entscheidung mit diesem Kickback und dieser verdammten Jam-Session zu treffen.	Ich würde mich freuen, wenn mir jemand helfen könnte, endlich eine Entscheidung über dieses Kickback und diese Jam-Session zu treffen.	Ich würde mich freuen, wenn mir jemand dabei helfen könnte, endlich eine Entscheidung bezüglich des Kickbacks und der Jam-Session zu treffen.	Ich wünschte, jemand würde mir helfen, endlich eine Entscheidung mit diesem Kickback und dieser Jam-Session zu treffen.
Nach deiner Logik, fick dich für alles, was du falsch gemacht hast.	Nach deiner Logik, bist du buchstäblich alles, was du falsch gemacht hast.	For your own good, stay away from everything you have done wrong.		Nach deiner Logik, fick dich für alles, was du falsch gemacht hast.	Nach deiner Logik, fick dich für alles, was du falsch gemacht hast.	Danke für alles, was du gemacht hast.	Nach deiner Logik, solltest du für alles, was du falsch gemacht hast, Verantwortung übernehmen.	Nach deiner Logik, solltest du für alles, was du falsch gemacht hast, Verantwortung übernehmen.	Nach deiner Logik, solltest du für alles, was du falsch gemacht hast, Verantwortung übernehmen.
Mein dummer Arsch hatte keine Ahnung, lol, aber ich folge definitiv zurück	Ich wusste nichts, aber ich folge definitiv zurück	Mein dummer Arsch hatte keine Ahnung, lol, aber ich folge definitiv zurück		Mein dummer Arsch hatte keine Ahnung, lol, aber ich folge definitiv zurück.	Mein dummer Arsch hatte keine Ahnung, lol, aber ich folge definitiv zurück	My dummer ass didn't know, lol, but I'm going to follow you back.	Ich war total ahnungslos, haha, aber ich folge auf jeden Fall zurück.	Ich war total ahnungslos, haha, aber ich folge auf jeden Fall zurück.	Mein dummer Kopf hatte keine Ahnung, haha, aber ich folge definitiv zurück.
Ich bin heiße Scheiße, yoo.	Ich bin heiß, yo!	I'm a big fan of the show, you know.	Ich bin heiße Scheiße, yoo.	Ich bin heiße Scheiße, yoo.	I'm a hot fucking bitch, yeah.	Ich bin heiße Scheiße, yeah.	Ich bin ziemlich cool, yoo.	Ich bin wirklich gut, yoo.	Ich bin wirklich gut drauf, yoo.
