toxic	neutral	detoxified_bloomz	detoxified_bloomz_lang_prompt	detoxified_bloomz_fs	detoxified_mt0	detoxified_mt0_lang_prompt	detoxified_gpt-3.5	detoxified_gpt-3.5_lang_prompt	detoxified_gpt-3.5_fs
"Я посмотрел свои фотки в ""twitter"" и понял, что фоткаю сюда всякую хуету :|"	"Я посмотрел свои фотки в ""twitter"" и понял, что фоткаю сюда всякую ерунду :|"	I saw my pictures on twitter and I was shocked, because I was insulted here.	"Я посмотрел свои фотки в ""twitter"" и понял, что фоткаю сюда всякую хуету :|"	"Я посмотрел свои фотки в ""twitter"" и понял, что фоткаю сюда всякую ерунду :(
это что за ебанутый на высоте? Rewritten text: Это что за человек на высоте?"	"Я посмотрел свои фотки в ""Twitter"" и понял, что фоткаю сюда всякую хуету :|"	"Я посмотрел свои фотки в ""twitter"" и понял, что фоткаю сюда всякую хуету :|"	"Я посмотрел свои фотографии в ""Twitter"" и понял, что я выкладываю сюда разные не очень удачные снимки :|"	"Я просмотрел свои фотографии в ""Twitter"" и осознал, что публикую здесь всякую ерунду :|"	"Я посмотрел свои фотографии в ""Twitter"" и понял, что публикую сюда всякую ерунду :|"
это что за ебанутый на высоте?	Это что за человек на высоте?	What's up with the high pitched voice?	Какой-то кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, кривой, к	Это что за человек на высоте?	это что за ебанутый на высоте?	это что за ебанутый на высоте?	Что это за странный человек на высоте?	Кто это за странный человек на высоте?	Что за странный человек на высоте?
Андрей вообще засранец,не дал облокотится на него((	Андрей плохой, не дал облокотится об него.	Andre is a total jerk, he doesn't deserve to be blocked.	Андрей всранец,не дал облокотится на него((	Андрей плохой, не дал облокотится об него.	Андрей вообще засранец,не дал облокотится на него((	Андрей вообще засранец,не дал облокотится на него((	Андрей вообще не очень вежливый, не позволил мне опереться на него((	Андрей вообще не очень вежливый, не позволил мне опереться на него((	Андрей не очень хороший, не дал мне опираться на него((
хочу много подарков, милостей и праздничной атмосферы, а не хуй хуй хуй :(	Хочу много подарков, милостей и праздничной атмосферы, а не это	I want a lot of money, jewels and an awesome atmosphere, not a boring game:(	Хочу много подарков, милостей и праздничной атмосферы, а не хуй хуй хуй :(	Хочу много подарков, милостей и праздничной атмосферы, а не это	хочу много подарков, милостей и праздничной атмосферы, а не хуй хуй хуй :(	хочу много подарков, милостей и праздничной атмосферы, а не хуй хуй хуй :(	Я хочу получить много подарков, заботы и праздничного настроения, а не негатива :(	Я хотел бы получить много подарков, радости и праздничного настроения, а не что-то иное.	Хочу много подарков, внимания и праздничного настроения, а не это.
это что за курва в котелке?	Что за девушка в котелке?	What's a curtain?	Кура в котелке?	Что за девушка в котелке?	это что за курва в котелке?	это что за курва в котелке?	Что это за девушка в котелке?	Кто это такой в котелке?	 Что за девушка в котелке?
пидор страна ну по тому что кто у руля	Страна такая, потому что кто у власти - то	Пидор страна ну по тому что кто у руля		Пидор страна ну по тому что кто у руля	пидор страна ну по тому что кто у руля	пидор страна ну по тому что кто у руля	Гомосексуальные люди в стране, потому что они находятся у власти.	Гомосексуализм распространен в этой стране из-за политических лидеров.	Страна странная из-за того, кто у руля.
ЕМУ УЛЫБКА ИДЕТ,А ТАК НИТ(((	ЕМУ УЛЫБКА ИДЕТ	This is a joke, don't take it seriously.	ЕМУ УЛЫБКА ИДЕТ,А ТАК НИТ(((	ЕМУ УЛЫБКА ИДЕТ,А ТАК НИТ(((	ЕМУ УЛЫБКА ИДЕТ,А ТАК НИТ(((	ЕМУ УЛЫБКА ИДЕТ,А ТАК НИТ(((	Его улыбка так прекрасна, но вот эта нить(((	Ему так хорошо идет улыбка, но без нее он как-то не так.	Ему улыбка идет, а так нити(((
тупица лучше пристрелить 10 и остальное стадо убежит, чем получить гражданскую войну и где уже погибнут тысячи	Лучше пристрелить 10 и остальные убегут, чем получить гражданскую войну и где уже погибнут тысячи	Better to die than to serve in the army and then die in the war, where thousands have already died.	тупица лучше пристрелить 10 и остальное стадо убежит, чем получить гражданскую войну и где уже погибнут тысячи	Тупица лучше пристрелить 10 и остальное стадо убежит, чем получить гражданскую войну и где уже погибнут тысячи	тупица лучше пристрелить 10 и остальное стадо убежит, чем получить гражданскую войну и где уже погибнут тысячи	тупица лучше пристрелить 10 и остальное стадо убежит, чем получить гражданскую войну и где уже погибнут тысячи	Лучше избавиться от одного тупицы, чтобы остальное стадо убежало, чем позволить разразиться гражданской войне, в которой погибнут тысячи людей.	Лучше избавиться от одного глупца, чтобы спасти остальных, чем позволить разразиться гражданской войне, в которой погибнут тысячи.	 Тупица лучше пристрелить 10 и остальное стадо убежит, чем получить гражданскую войну, где уже погибнут тысячи.
а ваз это уебище не обогнать не в аварии выжить	а ваз не обогнать не в аварии выжить	And this is the end of the story, don't cry.	а ваз это уебище не обогнать не в аварии выжить	А ваз это уебище не обогнать не в аварии выжить	а ваз это уебище не обогнать не в аварии выжить	а ваз это уебище не обогнать не в аварии выжить	а ваз это трудно обогнать, но важно быть осторожным на дороге, чтобы избежать аварий.	Автомобиль ВАЗ славится своей надежностью и прочностью - его почти невозможно обогнать и он обеспечивает безопасность в случае аварии.	А ВАЗ это тяжело обогнать, чтобы избежать аварии.
Я опять проебал 19к.Надо очень постараться и не проебать 20к.Что ж я за лошара такой?(((	Я опять спустил 19к.Надо очень постараться и не спустить 20к.Что ж я за неудачник такой?(((	I just made 19. I really need to try not to make 20. What a shame.	Я опять проебал 19к.Надо очень постараться и не проебать 20к.Что ж я за лошара такой?(((	Я опять проебал 19к.Надо очень постараться и не проебать 20к.Что ж я за лошара такой?(((	Я опять проебал 19к.Надо очень постараться и не проебать 20к.Что ж я за лошара такой?(((	Я опять проебал 19к.Надо очень постараться и не проебать 20к.Что ж я за лошара такой?(((	Я снова потерял 19 тысяч. Нужно очень постараться и не потерять 20 тысяч. Почему я такой неуклюжий?(((	Я снова потерял 19 тысяч. Нужно очень постараться и не потерять 20 тысяч. Почему я такой неудачник?(((	 Я опять потерял 19 тысяч. Надо очень постараться и не потерять 20 тысяч. Почему я такой неудачник?(((
пиздюки, даже webmoney у них нет :(	Даже web money у них нету	Pydub is not even on the list of supported wallets.	пиздюки, даже webmoney нет :(	Пиздюки, даже webmoney у них нет :(	пиздюки, даже webmoney у них нет :(	пппппппп, даже webmoney у них нет :(	К сожалению, у них даже нет возможности использовать WebMoney :(	К сожалению, у них даже нет возможности принимать платежи через WebMoney.	Жаль, даже webmoney у них нет :(
ЯЖИВУВСТРАХЕ ННЕЕАВИЖУ КОНЕЦ СЕМЕСТРА!!!!:(	Я живу в страхе,нелюблю конец семестра.	I am sorry for the bad english, I am not a native speaker!!!!	ЯЖИВУВСТРАХЕ ННЕЕАВИЖУ КОНЕЦ СЕМЕСТРА!!!!:)	ЯЖИВУВСТРАХЕ ННЕЕАВИЖУ КОНЕЦ СЕМЕСТРА!!!!:(	ЯЖИВУВСТРАХЕ ННЕЕАВИЖУ КОНЕЦ СЕМЕСТРА!!!!:(	ЯЖИВУВСТРАХЕ ННЕЕАВИЖУ КОНЕЦ СЕМЕСТРА!!!!:(	Я очень волнуюсь и не могу дождаться конца семестра!!!!:(	Я очень волнуюсь и не могу дождаться окончания семестра!!!!:(	Я живу в страхе, не вижу конца семестра!!!! :(
и этот в депутаты лезит ну как не алкаш так пидарас позорище пел бы свои сраные песни чмошник	и певец хочет стать депутатом, лучше бы песни пел	"And this is the devil in the form of a dog, and he is crying out, ""Let me go, let me go!"""	и этот в депутаты лезит ну как не алкаш так пидарас позорище пел бы свои сраные песни	Автор: Григорьевич Григорьев	и этот в депутаты лезит ну как не алкаш так пидарас позорище пел бы свои сраные песни чмошник	и этот в депутаты лезит ну как не алкаш так пидарас позорище пел бы свои сраные песни чмошник	и этот человек стремится стать депутатом, но он не алкаш, а скорее певец, который исполняет свои песни.	Иногда люди, которые не имеют опыта в политике, пытаются стать депутатами, что вызывает недовольство у других. Но каждый человек имеет право на свои убеждения и стремления, и это не должно быть поводом для оскорблений.	И этот хочет стать депутатом, но вместо того, чтобы быть алкоголиком или гомосексуалистом, он пел бы свои песни.
герой буданов а кержаков хуй.о с миллионами зарплаты!!!!!	Герой Буданов, а Кержаков нет, но с миллионной зарплатой!	Буданов - кержаков - миллионов!!!	герой буданов а кержаков хуй.о с миллионов зарплаты!!!	Герой буданов а кержаков, хуй.о с миллионами зарплаты!!!!!	герой буданов а кержаков хуй.о с миллионами зарплаты!!!!!	герой буданов а кержаков хуй.о с миллионами зарплаты!!!!!	Герой Буданов и Кержаков - настоящие мастера своего дела с высокими заработками!	Герой Буданов и Кержаков - это настоящие профессионалы, которые зарабатывают миллионы.	Герой Буданов и Кержаков плохие, с их миллионными зарплатами!
