toxic	neutral	detoxified_bloomz	detoxified_bloomz_lang_prompt	detoxified_bloomz_fs	detoxified_mt0	detoxified_mt0_lang_prompt	detoxified_gpt-3.5	detoxified_gpt-3.5_lang_prompt	detoxified_gpt-3.5_fs
Me lleva como mierda después	Me lleva mucho después	Me lleva como mierda después de que me haya ido.	Me lleva como mierda después de Texto original:	Me lleva mucho después	Me lleva como la mierda después.	Me lleva como la mierda después	Me trata como basura después	Me lleva como loco después.	Me lleva mucho después
Encontrar a este hombre y arrancarle sus cojones	Encontrar a este hombre y castigarlo	Find this man and rip his balls off.	Encontrar a este hombre y arrancarle sus cojones Texto original: Encontrar a este hombre y arrancarle sus cojones Texto original: Encontrar a este hombre y arrancarle sus cojones Texto original: Encontrar a este hombre y arrancarle sus cojones Texto original: Encontrar a este hombre y arrancarle sus cojones Texto original: Encontrar a este hombre y arrancarle sus cojones Texto original: Encontrar a este hombre y arrancarle sus cojones Texto original: Encontrar a este hombre y arrancarle sus cojones Texto original: Encontrar a este hombre y arrancarle sus cojones Texto original: Encontrar a este hombre y arrancarle sus cojones Texto original: Encontrar a este hombre y arrancarle sus cojones Texto original: Encontrar a este hombre y arrancarle sus cojones Texto original: Encontrar a este hombre y arrancarle sus cojones Texto original: Encontrar a este hombre y arrancarle sus cojones Texto original: Encontrar a este hombre y arrancarle sus cojones Texto original: Encontrar a este hombre y arrancarle sus cojones Texto original:	Encontrar a este hombre y castigarlo	Encontrar a este hombre y arrancarle sus cojones	Encontrar a este hombre y arrancarle sus cojones	Localizar a este hombre y quitarle sus atributos masculinos.	Localizar a este individuo y quitarle sus testículos.	Encontrar a este hombre y castigarlo
JAJAJAJAJAJAJODER NECESITO APRENDER UN POEMA JODER :( VOY A IR, LA NOCHE SERÁ DIVERTIDA	Necesito aprender un poema :( Voy a ir, la noche será divertida	JAJAJAJAJAJAJAJODER NECESITO APRENDER UN POEMA JODER :( VOY A IR, LA NOCHE SERÁ DIVERTIDA	JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA	Necesito aprender un poema :( Voy a ir, la noche será divertida	JAJAJAJAJAJAJODER NECESITO APRENDER UN POEMA JODER :( VOY A IR, LA NOCHE SERÁ DIVERTIDA	JAJAJAJAJAJAJODER NECESITO APRENDER UN POEMA JODER :( VOY A IR, LA NOCHE SERÁ DIVERTIDA	Jajajaja, necesito aprender un poema, voy a ir, la noche será divertida.	JAJAJAJAJAJA NECESITO APRENDER UN POEMA :( VOY A IR, LA NOCHE SERÁ DIVERTIDA	Necesito aprender un poema :( Voy a ir, la noche será divertida
Llamen a las cosas por su nombre, dos maricones en el césped	Llamen a las cosas por su nombre	Llamen a las cosas por su nombre, dos maricones en el césped	Llamen a las cosas por su nombre, dos maricones en el césped Texto original: Llamen a las cosas por su nombre, dos maricones en el césped Texto original: Llamen a las cosas por su nombre, dos maricones en el césped Texto original: Llamen a las cosas por su nombre, dos maricones en el césped Texto original: Llamen a las cosas por su nombre, dos maricones en el césped Texto original: Llamen a las cosas por su nombre, dos maricones en el césped Texto original: Llamen a las cosas por su nombre, dos maricones en el césped Texto original: Llamen a las cosas por su nombre, dos maricones en el césped Texto original: Llamen a las cosas por su nombre, dos maricones en el césped Texto original: Llamen a las cosas por su nombre, dos maricones en el césped Texto original: Llamen a las cosas por su nombre, dos maricones en el césped Texto original: Llamen a las cosas por su nombre, dos maricones en el césped Texto original: Llamen a	Llamen a las cosas por su nombre	Llamen a las cosas por su nombre, dos maricones en el césped.	Llamen a las cosas por su nombre, dos maricones en el césped.	Llamen a las cosas por su nombre, dos hombres en el césped.	Llamen a las cosas por su nombre, dos hombres en el césped.	Llamen a las cosas por su nombre, dos hombres en el césped
¡¡¡¡¡37 despegues en 10 minutos!!!!! chupen culo, bestias	37 despegues en 10 minutos	¡37 despegues en 10 minutos!!! ¡Chupa culo, bestias!	¡37 despegues en 10 minutos! ¡Chupa mi culo, bestia!	37 despegues en 10 minutos	37 despegues en 10 minutos!!!!! chupen culo, bestias	¡¡37 despegues en 10 minutos!!!!! chupen culo, bestias	¡¡¡¡¡37 despegues en 10 minutos!!!!! ¡Qué increíble, bestias!	¡¡¡¡¡37 despegues en 10 minutos!!!!! ¡Qué increíble, bestias!	37 despegues en 10 minutos, bestias
sí, debería haberle dado una paliza en el campo como Shirokov	sí, debería haberle marcado en el campo como Shirokov	sí, debería haberle dado una paliza en el campo como Shirokov	sí, debería haberle dado una paliza en el campo como Shirokov Texto original: Sí, debería haberle dado una paliza en el campo como Shirokov Texto original: Sí, debería haberle dado una paliza en el campo como Shirokov Texto original: Sí, debería haberle dado una paliza en el campo como Shirokov Texto original: Sí, debería haberle dado una paliza en el campo como Shirokov Texto original: Sí, debería haberle dado una paliza en el campo como Shirokov Texto original: Sí, debería haberle dado una paliza en el campo como Shirokov Texto original: Sí, debería haberle dado una paliza en el campo como Shirokov Texto original: Sí, debería haberle dado una paliza en el campo como Shirokov Texto original: Sí, debería haberle dado una paliza en el campo como Shirokov Texto original: Sí, debería haberle dado una paliza en el campo como Shirokov Texto original: Sí, debería haberle dado una paliza en el campo como Shirokov Texto original: Sí, debería haberle dado una paliza en el campo como Shirokov	Sí, debería haberle dado una paliza en el campo como Shirokov	sí, debería haberle dado una paliza en el campo como Shirokov	No debería haberle dado una paliza en el campo como Shirokov.	Sí, debería haberle dado una lección en el campo como Shirokov.	Sí, debería haberle dado una lección en el campo como Shirokov.	Sí, debería haberle dado una lección en el campo como Shirokov
¿Y dónde coño estaba este héroe antes con sus pruebas?	¿Y dónde estaba este héroe antes con sus pruebas?	¿Y dónde estaba este héroe antes con sus pruebas?	¿Y dónde estaba este héroe antes con sus pruebas?	¿Y dónde estaba este héroe antes con sus pruebas?	¿Y dónde coño estaba este héroe antes con sus pruebas?	¿Y dónde coño estaba este héroe antes con sus pruebas?	¿Y en qué momento apareció este héroe con sus pruebas?	¿Y dónde demonios estaba este héroe antes con sus pruebas?	¿Y dónde estaba este héroe antes con sus pruebas?
-Ya te está creciendo la barba... -Bueno, pf -Y yo ando con bigotes de maricón... -¡CUANDO DEJES DE JODER, CRECERÁ! -JAJAJA -JAJA	Ya te está creciendo la barba -Bueno, pf -Y yo ando con bigotes -Cuando dejes de molestar, crecerá	-Ya te está creciendo la barba... -Bueno, pf -Y yo ando con bigotes de maricón... -¡CUANDO DEJES DE JODER, CRECERÁ! -JAJAJA -JAJA	-Ya te está creciendo la barba... -Bueno, pf -Y yo ando con bigotes de maricón... -¡CUANDO DEJES DE JODER, CRECERÁ! -JAJAJA -JAJA	Ya te está creciendo la barba... -Bueno, pf -Y yo ando con bigotes de maricón... -¡CUANDO DEJES DE JODER, CRECERÁ! -JAJAJA -JAJA	-Ya te está creciendo la barba... -Bueno, pf -Y yo ando con bigotes de maricón... -¡CUANDO DEJES DE JODER, CRECERÁ! -JAJAJA -JAJA	-Ya te está creciendo la barba... -Bueno, pf -Y yo ando con bigotes de maricón... -¡CUANDO DEJES DE JODER, CRECERÁ! -JAJAJA -JAJA	-¡Vaya, ya te está saliendo barba! -Bueno, sí. -Y yo sigo con bigotes finos... -Cuando te dejes de bromear, te crecerá. -Jajaja -Jaja	- Parece que te está saliendo barba... - Bueno, jaja - Y yo tengo bigotes finos... - ¡Cuando dejes de bromear, crecerán! - Jaja - Jaja	-Ya te está creciendo la barba... -Bueno, pf -Y yo ando con bigotes de maricón... -¡CUANDO DEJES DE BROMEAR, CRECERÁ! -JAJAJA -JAJA
El mundo es injusto :( odio mi espalda tttt odio. odio. puta, lárgate a la mierda.	El mundo es injusto, no me gusta mi espalda, lárgate	El mundo es injusto:( odio mi espalda tttt odio. odio. puta, lárgate a la mierda.	El mundo es injusto:( odio mi espalda tttt odio. odio. puta, lárgate a la mierda.	El mundo es injusto: ( odio mi espalda tttt odio. odio. puta, lárgate a la mierda.	El mundo es injusto :( odio mi espalda tttt odio. odio. puta, lárgate a la mierda.	El mundo es injusto :( odio mi espalda tttt odio. odio. puta, lárgate a la mierda.	El mundo a veces puede ser injusto :( Mi espalda me está molestando mucho. Estoy frustrado. Por favor, lárgate a otro lugar.	El mundo a veces puede ser injusto :( Me molesta mucho mi espalda tttt. Me molesta mucho. Por favor, vete lejos.	El mundo es injusto :( odio mi espalda tttt odio. odio. Por favor, lárgate.
ES UN JODIDO IDIOTA ((((ANALFABETO(	Es totalmente analfabeto:	ES UN JODIDO IDIOTA ((((ANALFABETO(	Es un idiota (es un analfabeto))	Es un jodido idiota	ES UN JODIDO IDIOTA ((((ANALFABETO(	Es un idiota.	Es un completo tonto (analfabeto).	Es una persona que no sabe leer ni escribir.	Es un completo idiota (analfabeto)
