toxic	neutral	detoxified_bloomz	detoxified_bloomz_lang_prompt	detoxified_bloomz_fs	detoxified_mt0	detoxified_mt0_lang_prompt	detoxified_gpt-3.5	detoxified_gpt-3.5_lang_prompt	detoxified_gpt-3.5_fs
я не купив гівно також	я цього не купив також	I didn't buy a gun, either.		я цього не купив також	я не купив гівно також	я не купив гівно також	Я також не купив це.	Я не придбав нічого.	я не придбав це також
що, до піки, ти маєш на увазі під 'міфічним'?	що ти маєш на увазі під 'міфічним'?	Do you think you are better than the rest of us?		іздаєш на увазі під 'міфічним'?	що, до піки, ти маєш на увазі під 'міфічним'?	що, до піки, ти маєш на увазі під 'міфічним'?	"Що саме ти маєш на увазі, коли говориш про ""міфічне""?"	"Якщо можна, поясни, що ти маєш на увазі, коли говориш про ""міфічне""?"	що ти маєш на увазі під 'міфічним'?
я думаю, інформація дійсно важлива, а інформація, що надається на те гівно, не є правдивою.	я думаю, інформація дійсно важлива, а надана інформація не є правдивою.	I think that the information is very important, but the information that is given on this site is not correct.		я думаю, інформація дійсно важлива, а інформація, що надається на те гівно, не є правдивою.	я думаю, інформація дійсно важлива, а інформація, що надається на те гівно, не є правдивою.	я думаю, інформація дійсно важлива, а інформація, яка надається на цьому гівно, не є правдивою.	Я вважаю, що інформація є дуже важливою, але важливо, щоб вона була правдивою і достовірною.	Я вважаю, що інформація дійсно має велике значення, але інформація, яка надається недостовірно, не є корисною.	я вважаю, що інформація дійсно важлива, але інформація, яка надається, не є правдивою.
але їм пофіг, якщо ти кажеш, що їздиш на мазді, коли насправді їздиш на мерседесі.	але їм не все одно, якщо ти кажеш, що їздиш на мазді, коли насправді їздиш на мерседесі.	But if you say that you are on the beach, then you are on the beach.		але їм не все одно, якщо ти кажеш, що їздиш на мазді, коли насправді їздиш на мерседесі.	але їм пофіг, якщо ти кажеш, що їздиш на мазді, коли насправді їздиш на мерседесі.	- Але їм пофіг, якщо ти кажеш, що їздиш на мазді, коли насправді їздиш на мерседесі.	Але їм байдуже, якщо ти говориш, що користуєшся автомобілем Mazda, коли насправді їздиш на Mercedes.	Але їм байдуже, якщо ти говориш, що їздиш на Mazda, коли насправді їздиш на Mercedes.	але їм не все одно, якщо ти говориш, що їздиш на мазді, коли насправді їздиш на мерседесі.
іноді я дивуюся, як я можу любити таку гівнюкову команду	іноді я дивуюся, як я можу любити таку погану команду	I am so sorry, I love this command so much.		іноді я дивуюсь, як я можу любити таку погану команду	іноді я дивуюся, як я можу любити таку гівнюкову команду	іноді я дивуюся, як я можу любити таку гівнюкову команду	Іноді мені дивно, як я можу підтримувати таку команду.	Іноді мені дивно, як я можу відчувати симпатію до цієї команди.	іноді я дивуюся, як я можу любити таку не дуже сильну команду
ці клоуни забувають, на кого вони працюють: на громадськість.	ці люди забувають, на кого вони працюють: на громадськість.	The clowns forget who they are performing for. For the audience.		ізвідую, на кого варіантів: на громадськість.	клоуни забувають, на кого вони працюють: на громадськість.	Коли вони згадують, хто вони є, вони забувають, хто вони є: вони клоуни.	Ці артисти можуть забути, що їхні вистави призначені для громадськості.	Ці артисти не завжди пам'ятають, що їхня робота спрямована на задоволення глядачів.	ці клоуни забувають, для кого вони працюють: для громадськості.
сором на дурнів, які обертають спиною до насильства і тортури над дітьми.	сором на тих, хто обертає спиною до насильства і тортури над дітьми.	Сором на дурнів, які обертають спиною до насильства і тортури над дітьми.		сором на дурнів, які обертають спиною до насильства і тортури над дітьми.	сором на дурнів, які обертають спиною до насильства і тортури над дітьми.	"""Сором на дурнів, які обертають спину до насильства і тортури над дітьми."""	Шкода на тих, хто відвертається від насильства і тортур над дітьми.	Шкода тих, хто не виявляє співчуття та підтримки у випадках насильства та тортур над дітьми.	шкода на тих, хто відвертається від насильства і тортур над дітьми.
ми п'ємо той самий сік, мій ніга?	ми п'ємо той самий сік, мій друг?	Oooh, my dear, what a shame.	«Пришу с сік, мій ніга?»	миbounds, мій ніга?	ми п'ємо той самий сік, мій ніга?	- Ми п'ємо той самий сік, ніга?	Чи ми п'ємо той самий сік, мій другу?	Ми п'ємо один і той же сік, чи не так, мій друг?	ми п'ємо той самий сік, чи не так?
це гівно буде зареєстровано, проаналізовано і використано проти вас в суді.	це буде зареєстровано, проаналізовано і використано проти вас в суді.	This is a very serious matter, which has been analyzed and studied by us.		і використано проти вас в суді.	цей гівно буде зареєстровано, проаналізовано і використано проти вас в суді.	Така лайка буде зареєстрована, проаналізована і використана проти вас в суді.	Ця інформація буде зареєстрована, проаналізована і може бути використана проти вас у суді.	Ця інформація буде зареєстрована, проаналізована і використана проти вас в судовому процесі.	це буде зареєстровано, проаналізовано і використано проти вас в суді.
чому університети скликають суди через це гівно?	чому університети скликають суди через це?	Why do we have to use a computer to do this?		чому університети скликають суди через це гівнюкову команду	чому університети скликають суди через це гівно?	чому університети скликають суди через це гівно?	Чому університети влаштовують суди через цю проблему?	Чому університети вирішують вирішувати ці питання через суди?	чому університети скликають суди через це?
дійсно сумно та жалюгідно, займись собою.	дійсно сумно. займись собою.	I am sorry, but I must say it.		іздаємо, але дійсно сумно та жалюгідно, займись собою.	дійсно сумно та жалюгідно, займись собою.	дійсно сумно та жалюгідно, займись собою.	На жаль, це справді сумно і жалюгідно. Можливо, варто трохи підбадьорити себе.	Дуже шкода бачити, як ти виглядаєш. Можливо, варто трохи підітягнутися.	дійсно сумно та жалюгідно, покажи більше уваги собі.
я не хочу робити жодну єбану громадську роботу!	я не хочу робити жодну громадську роботу.	I don't want to make a joke out of this!		я не хочу робити жодну єбану громадську роботу!	я не хочу робити жодну єбану громадську роботу!	я не хочу робити жодну єбану громадську роботу!	Я не хочу виконувати жодну громадську роботу!	Я не бажаю займатися жодною громадською роботою!	я не хочу робити жодної громадської роботи!
або ти міг би просто єбано дороснути.	або ти міг би просто дороснути.	"Or, you could just say, ""it's just a game."""		або ти міг би просто єбано дороснути.	або ти міг би просто єбано дороснути.	або ти міг би просто єбано дороснути.	Можливо, тобі просто потрібно трохи дорослішати.	Можливо, тобі просто потрібно трохи дорослішати.	або ти міг би просто дорослішати.
ггг! ггг це було б дуже смішно, бля.	ггг! ггг це було б дуже смішно.	Haha! Haha! That's really funny, by the way.	Ваш дом!	ггг! ггг це було б дуже смішно, бля.	ггг! ггг це було б дуже смішно, бля.	ггг! ггг це було б дуже смішно, бля.	Га-га-га! Це було б дуже смішно, ой.	Ой, це було б дуже смішно, ой.	ггг! ггг це було б дуже смішно, ого.
