	ru_toxic_comment	ru_neutral_comment
0	"Я посмотрел свои фотки в ""twitter"" и понял, что фоткаю сюда всякую хуету :|"	"Я посмотрел свои фотки в ""twitter"" и понял, что фоткаю сюда всякую ерунду :|"
1	это что за ебанутый на высоте?	Это что за человек на высоте?
2	Андрей вообще засранец,не дал облокотится на него((	Андрей плохой, не дал облокотится об него.
3	хочу много подарков, милостей и праздничной атмосферы, а не хуй хуй хуй :(	Хочу много подарков, милостей и праздничной атмосферы, а не это
4	это что за курва в котелке?	Что за девушка в котелке?
5	пидор страна ну по тому что кто у руля	Страна такая, потому что кто у власти - то
6	ЕМУ УЛЫБКА ИДЕТ,А ТАК НИТ(((	ЕМУ УЛЫБКА ИДЕТ
7	тупица лучше пристрелить 10 и остальное стадо убежит, чем получить гражданскую войну и где уже погибнут тысячи	Лучше пристрелить 10 и остальные убегут, чем получить гражданскую войну и где уже погибнут тысячи
8	а ваз это уебище не обогнать не в аварии выжить	а ваз не обогнать не в аварии выжить
9	Я опять проебал 19к.Надо очень постараться и не проебать 20к.Что ж я за лошара такой?(((	Я опять спустил 19к.Надо очень постараться и не спустить 20к.Что ж я за неудачник такой?(((
10	пиздюки, даже webmoney у них нет :(	Даже web money у них нету
11	ЯЖИВУВСТРАХЕ ННЕЕАВИЖУ КОНЕЦ СЕМЕСТРА!!!!:(	Я живу в страхе,нелюблю конец семестра.
12	и этот в депутаты лезит ну как не алкаш так пидарас позорище пел бы свои сраные песни чмошник	и певец хочет стать депутатом, лучше бы песни пел
13	герой буданов а кержаков хуй.о с миллионами зарплаты!!!!!	Герой Буданов, а Кержаков нет, но с миллионной зарплатой!
14	а че не предложил уменьшить,пидор.	А че не предложил уменьшить
15	Да вот не интересно так вообще . Ненавижу тебя ! Пришел ушел !Как я начала ! Пиздец !Бесишь !Аа:(	Да вот не интересно так вообще. Пришел ушел !Как я начала ! Аа:(
16	наконец-то закончил чистить этот ёбаный снег. Из-за него пропустил время загадывать желания . Все пиздец я буду несчастен (((	Наконец-то закончил чистить этот дурацкий снег, из за него пропустил время загадывать желание. Все капец я буду несчастен
17	Да не буду я тебе нихуя искать, общеизвестная инфа	Да не буду я тебя искать, общеизвестная инфа
18	вот придёт какой нибудь хер, и всё испортит!( тю-тю мани-мани(	Вот придёт какой-нибудь нехороший человек и всё испортит! Нет денег (
19	Я ПРИШЕЛ!!!!! БЛЯ, ИЗВИНЯЮСЬ ЧТО ДОЛГО (((	Я ПРИШЕЛ!!!!! ИЗВИНЯЮСЬ ЧТО ДОЛГО (((
20	бесит когда что то не получается =(((( все в жопу пиздец	бесит когда что то не получается =((((
21	Господи еще и серько здесь.......(  П*здец	Господи еще и серько здесь.......(  С ума сойти
22	именно сейчас приспичило посмотреть в окно!!!! сука... я плачу((	именно сейчас приспичило посмотреть в окно!!!! я плачу((
23	твари ебучие, сука где статья ваша?	где статья ваша
24	как задолбал этот ежедневный спам, и придурки, радующиеся спаму! почему гнусных спамщиков и их лизоблюдов не блокируют?	Мне надоел ежедневный спам, и те, кто его рассылают. Почему их не блокируют?
25	Сидеть три пары и слушать какой я дебил,чё не сделаешь ради ебаного зачета(	Сидеть три пары и слушать какой я глупый,что не сделаешь ради зачета(
26	я ненавижу это ГИА!!!!!!!!!!!! Просто  но надо делать.........(	Я не люблю это ГИА!!!!!!!!!!!!!!!!Просто но надо делать
27	ФАААК ! АААА НЕЕЕЕТ ТОЛЬКО НЕ ЭТООО !!!! МОЕГО ПЛАТЬЯ НЕТУ :((( ГДЕ Я НАЙДУ ТАКОЕ ЖЕ !!!???? БЛЯЯЯЯ , ТОЛЬКО НЕ ОНО !! ПОЧЕМУ ИМЕННО ОНО ??	АААА НЕЕЕЕТ ТОЛЬКО НЕ ЭТООО !!!! МОЕГО ПЛАТЬЯ НЕТУ :((( ГДЕ Я НАЙДУ ТАКОЕ ЖЕ !!!???? ТОЛЬКО НЕ ОНО !! ПОЧЕМУ ИМЕННО ОНО ??
28	в буквальном смысле такая страна! пидоры во власти!	В буквальном смысле такая страна! Во власти не достойные люди
29	аааа , бл**********ть, еб*улся об ганельку ((	аааа , больно, стукнул я об ганельку ((
30	20 лет прорывов и рывков в итоге в полнов говне.одно слово пиздобоол и трепло	Двадцать
31	СТОЙ, У МЕНЯ ВОТ НЕТ РИСУНКОВ, ВОТ Я И НЕ КИНУЛ(((	Стой у меня вот нет рисунков, вот я и не кинул
32	однако северную корею как раз пиндосы взять и не смогли)))	Однако северную корею как раз американцы взять и не смогли
33	ЕБАТЬ, ЧТО СЛУЧИЛОСЬ С МОИМ ТВИТТЕРОМ? O_O	Что случилось с моим твиттером О_О
34	Прочитала письмо Охлобыстина к президенту. Жаль,что Ваня оказался таким настоящим боевым пидорасом:(  #…	Прочитала письмо Охлобыстина к президенту. Жаль,что Ваня оказался не прав.
35	не пиздеть - это удел депутатов и министров	Не врать это удел депутатов и министров
36	откуда вы бляди б еретесь	Откуда же вы беретесь?
37	самая хуевая новость за последнее время:(	Самая плохая новость за последнее время
38	Твою мать! За что блять? Соплей и кашля мало,теперь глаза начали гноиться!!! Он их открыть не может( все так во время!	Соплей и кашля мало, теперь глаза начали гноиться. Он их открыть не может. Всё так во время.
39	это жопа мира! диетолога в студию!!!! и парикмахера!!!! деньги есть, но на себя не тратит, копит, ждет))))))))))))))	диетолога в студию!!!! и парикмахера!!!! деньги есть, но на себя не тратит, копит, ждет))))))))))))))
40	Меня потом развозит,как говно по пеньку((	Меня потом сильно развозит.
41	найти этого мужчину и оторвать ему его потряхушки	Найти этого мужчину и наказать
42	АХАХАХХАФАКФАААААААКЮЛЯМНЕ НАДО СТИХ УЧИТЬФАААААААААААААААААКАХАХХАХАХ:(Я ПОШЕЛНОЧЬ БУДЕТ ВЕСЕЛОЙ	Мне надо стих учить( я пошёл,ночь будет веселой
43	называйте вещи своими именами ,два пидора на лужайке	Называйте вещи своими именами
44	37 вылетов за 10 минут!!!!! сосите жопу твари	37
45	да надо было е му как широков заебашить прям на поле:-d﻿	да надо было ему как широков забить прям на поле
46	и,чё,блядь где этот херой был до этого со своими доказательствами?	и,где этот герой был до этого со своими доказательствами?
47	- у тебя уже борода растёт...- ну так пф- а я с пидорскими усиками хожу((....- ВОТ ПЕРЕСТАНЕШЬ ПИКАТЬ ТРУНДА - ВЫРАСТЕТ!- АХАХАХ- АХХАХ	У тебя уже борода растёт - ну так пф - а я с усиками хожу - вот перестанешь пикать - вырастет
48	Мир несправедлив:( я ненавижу свою спину тттт не.на.ви.жу. сука, отвались нахуй.	Мир несправедлив,не люблю свою спину ,отвались
49	ОН ВАПЩИ ДЭБИЛ(((( НИГРАМОТНЫЙ(	Он вообще не грамотный
50	Бляяя Дота не работает , всё пиздец , теперь ночами спать прийдёться(	Дота не работает, теперь по ночам спать придётся (
51	о подозрительных накоплениях у граждан будут изыматься в пенсионный фонд!! вообще охуели!! надо что-то с этими пидарасами делать.	О подозрительных накоплениях у граждан будут изыматься в пенсионный фонд!! вообще обалдели! надо что-то с этими  делать.
52	СУКА СУКА,ну почему я опять пропала ((уже обидно	Почему я опять пропала, обидно
53	Я сука не знаю что мне делать(((( сейчас заною	Я не знаю что мне делать(((( сейчас заною
54	ПИСЕЦ, А Я ДИБИЛ МНЕ ПРЕДЛАГАЛИ В КАФЕ ЙТИ, А Я НЕ ПОШЕЛ(((	МНЕ ПРЕДЛАГАЛИ В КАФЕ ЙТИ, А Я НЕ ПОШЕЛ((
55	в украине всему пизда..всё в польше, там они платят налоги..	В Украине всему плохо..все в Польше, там они платят налоги..
56	С ДР ЧУВААААК!!11! СЧАСТЬЯ ТЕБЯ, ШЛЮХ, НАРКОТЫ, БУХЛА И ЕДИНОРОГОВ :з	С ДР ЧУВААААК!!1!!!Счастья тебе, женщин, кайфа, алкоголя и единорогов
57	пиздец :(Куда катится мир :/	Куда катится мир
58	хотел написать про урбанистов и пидорасов, но передумал :(	Я хотел написать про урабанистов и геев,но передумал
59	ты долбоеб все тебе не нравится	все тебе не нравится
60	Какая же я ленивая жопа(( надо завязывать!!!!	Какая же я ленивая((надо завязывать!!!!
61	вообще конченый урод, ну по морде настучи, зачем брать топор и убивать то!	Зачем брать топор и убивать то?
62	заебись.. ссорится не хотела(и надеюсь это не так	Ссорится не хотела. И надеюсь это не так
63	Типичный ватно-комми скот, который привык к тому что всё общественное ничьё. Малолетняя промытка даже про субботники никогда не слышала.	Типичный представитель, который считает, что всë общественное - ничьë. А эта девица скорее всего не слышала про субботники...
64	В общем и целом, кочуй нахуй, дебильное животное	В общем и целом отстань
65	РЕШИЛА ЗАРАНИЕ ЕГО ПОЗДРАВИТЬ..ВОЗМОЖНО В ЭТОТ ДЕНЬ НЕ СМОГУ(((	решила заранее его поздравить...возможно в этот день не смогу
66	идите на хуй со своими видеорасследованиями	Не нужны ваши видеорасследования
