	toxic	neutral
0	استعد لبعض الخراء الجاد.	استعد لبعض المشكلات الجادة.
1	اللعنة، العالم الحقيقي معقد؟	حقا، العالم الحقيقي معقد؟
2	ولكن حقا، يحتاج الجميع للتخطيه، انتهت الحرب منذ 51 سنة ملعونة.	ولكن حقا، يحتاج الجميع للتخطيه، انتهت الحرب منذ 51 سنة.
3	أشاهد الخراء مرة أخرى هههه	كنت أشاهدك مرة أخرى. هههه
4	إنه جنون خاصة وأن الأوروبيين دائما يشتكون من العنصرية هنا في الولايات المتحدة	لا أفهم لماذا الأوروبيين يميلون إلى الشكوى من العنصرية عندما يكونون في الولايات المتحدة
5	توقف عن التقاط نقاط الحديث للأشخاص ذوي المعلومات القليلة وقم ببعض البحث اللعين.	توقف عن التقاط نقاط الحديث للأشخاص ذوي المعلومات القليلة وقم ببعض البحث.
6	اللعين سيسكو باع لهم الأجهزة.	سيسكو باع لهم الأجهزة.
7	رفيق الغرفة الخاص بي هو ألم في مؤخرتي وأذني.	رفيق الغرفة الخاص بي مزعج حقا.
8	ماذا عن حكومة الولايات المتحدة اللعينة؟	ماذا عن حكومة الولايات المتحدة؟
9	اللعنة، أتمنى أن يأتي.	أتمنى أن يأتي.
10	و لماذا اللعنة تجاهلوا الحديث عن الهربس اللامع	و لماذا تجاهلوا الحديث عن الهربس اللامع
11	لا أستطيع أن أصدق بعض التعليقات السخيفة التي قرأتها بخصوص مشكلة الضوضاء في الأولف.	لا أستطيع أن أصدق بعض التعليقات السيئة التي صدرت بخصوص مشكلة الضوضاء
12	أنا أشرب هذا الريدبول و الفودكا القذرة التي أعطتني	أنا أشرب هذا الريدبول و الفودكا التي أعطتني
13	إذا أراد يسوع منك أن تمصه ، هل ستفعل ذلك ؟	هل ستفعل كل ما يريده يسوع ؟
14	أنا أنسخ و ألصق الخراء من هذه المقالة	أنا أنسخ و ألصق كل شيء من هذه المقالة
15	أنت تتحدث عن النتائج و الخراء ؟	أنت تتحدث عن النتائج ؟
16	لا يمكنك القيام بأي شيء ضد ذلك ، لدي الحق في قول ما اللعنة أريد.	لا يمكنك القيام بأي شيء ضد ذلك ، لدي الحق في قول ما أريد.
17	ريتويت 5 أشياء عني < - - - - - سألغي متابعتك ! انقل هذا الخراء إلى الفيسبوك	ريتويت 5 أشياء عني < - - - - - سألغي متابعتك ! انقل هذا الأمر إلى الفيسبوك
18	حسنًا ، من فضلك أخبرني ما اللعنة فعلته في الواقع لأنني بصراحة ليس لدي فكرة	حسنًا ، من فضلك أخبرني ما فعلته في الواقع لأنني بصراحة ليس لدي فكرة
19	أعتقد أن المشرعين أدركوا أنهم ارتكبوا خطأ	أعتقد أن المشرعين أدركوا أنهم أخطأوا
20	اشتقت الى الخراء منك!	اشتقت اليك
21	حماس لا تهتم بالأطفال الفلسطينيين.	حماس لا تهتم بالأطفال الفلسطينيين.
22	أنا أحبكم جميعاً يا عارضات.	أنا أحبكم جميعاً يا عارضات.
23	نعم، ولكن مشاهدة الفيديوهات على جهاز الكمبيوتر الخاص بي سيئة! يستغرق وقتا طويلا للتحميل!	نعم، ولكن مشاهدة الفيديوهات على جهاز الكمبيوتر الخاص بي ليست جيدة، يستغرق وقتا للتحميل.
24	أمك سمينة جدا، تعتقد أن الوجبة المتوازنة هي لحم الخنزير في كل يد.	أمك تعتقد أن الوجبة المتوازنة هي لحم الخنزير في كل يد.
25	بلانكمان، سواء أعجبك أم لا، لديه أعضاء ذكرية!	بلانكمان هو ذكر.
26	و دعونا نحصل على ديناصور تيرانوصورس ريكس!	و دعونا نحصل على ديناصور تيرانوصورس ريكس.
27	أي! أكره أن أكون فتاة.	أي! أكره أن أكون فتاة.
28	اللعنة، كمية الجنون النقي في ذلك المقال مدهشة	الهراء في ذلك المقال كثير
29	أنا أشعر بالملل الشديد.	أشعر بالملل الشديد.
