	toxic	neutral
0	वे अच्छी टीम हैं, लेकिन भाड़ में जाएं	वे एक अच्छी टीम हैं, लेकिन मैं उनसे सहमत नहीं हूँ
1	सचमुच, तुम मेरे सभी खातों के प्रति ऐसे क्यों हो?	सचमुच, तुम मेरे सभी खातों के साथ ऐसा क्यों कर रहे हो?
2	मेरी समझ में नहीं आता कि तुम कितने झूठे हो।	मेरी समझ में नहीं आता कि तुम इतने ईमानदार नहीं हो।
3	मैंने झूठे के लिए वोट नहीं दिया	मैंने झूठे के लिए वोट नहीं दिया
4	तुम स्पष्ट रूप से अमेरिकी राजनीति पर ध्यान नहीं देते और भाड़ में जाओ	तुम स्पष्ट रूप से अमेरिकी राजनीति पर ध्यान नहीं देते।
5	* कंपकंपी * शायद वह बकवास रिंग की तरह हो	* कंपकंपी * शायद वह रिंग की तरह हो
6	सचमुच, रेडिट के साथ भाड़ में जाने वाली क्या बात है?	सचमुच, रेडिट के साथ क्या गलत है?
7	उसे मेरे बारे में बहुत कुछ पता है & मुझे उसके बारे में कुछ भी नहीं पता	उसे मेरे बारे में बहुत कुछ पता है & मुझे उसके बारे में कुछ भी नहीं पता
8	यह हास्यास्पद है और अगर सच है तो भयानक लगता है।	यह बेहद भयानक है अगर यह सच है।
9	हाहा मैं बकवास क्लास में हूँ	मैं एक उबाऊ कक्षा में हूँ
10	शिट, लगता है कांसास बाकी अमेरिका को अपने अधीन करने जा रहा है।	लगता है कांसास बाकी हमें अपने अधीन करने जा रहा है।
11	यह बहुत ही बेहद सरल दृष्टिकोण है।	यह बहुत ही सरल दृष्टिकोण है।
12	मैं दांव पर लगाता हूं कि तुम्हें मूल निवासियों के साथ कुत्तों की तरह व्यवहार करने में कोई आपत्ति नहीं होगी।	मैं दांव पर लगाता हूं कि तुम्हें मूल निवासियों के साथ बुरे तरीके से व्यवहार करने में कोई आपत्ति नहीं होगी।
13	तुम वास्तव में बहुत उत्साही हो बहुत ही मूर्खतापूर्ण और अज्ञानी व्यवहार को माफ करने के लिए।	तुम वास्तव में बहुत उत्साही हो बहुत ही अर्थहीन और अज्ञानी व्यवहार को माफ करने के लिए।
14	राय कभी सही या गलत नहीं होती, वे एक कारण के लिए बहुत ही व्यक्तिगत होती हैं।	राय कभी सही या गलत नहीं होती, वे एक कारण के लिए व्यक्तिगत होती हैं।
15	सचमुच, तुम अपने एआर - 92 के साथ हवाई हमले के खिलाफ क्या करने जा रहे हो।	सचमुच, तुम अपने एआर-92 के साथ हवाई हमले के खिलाफ क्या करने जा रहे हो।
16	तुमने बेहद हद पार कर दी है।	तुमने हद पार कर दी है।
17	तुम्हारी समस्या क्या है बहुत ही बेहद?	वैसे, तुम्हारी समस्या क्या है?
18	ट्रम्प सिर्फ एक बड़ा झूठा है।	ट्रम्प सिर्फ एक झूठा है।
19	तुम्हें अपने रूममेट के बारे में पता है? आज मेरी आवासीय सामग्री मिली।	तुम्हें अपने रूममेट के बारे में पता है? आज मेरा होमवर्क का सामान मिला।
20	यह बेहेनचोद काम नहीं कर रहा था, लेकिन अब पड़ोसी का कुत्ता गंजा हो गया है।	यह काम नहीं कर रहा था, लेकिन अब पड़ोसी का कुत्ता गंजा हो गया है।
21	दूसरी खबर में कोई मादरचोद नहीं देख रहा।	दूसरी खबर में कोई नहीं देख रहा।
22	मैं दांव पर लगाता हूं कि वह कुतिया दोपहर तक सोती है।	मैं दांव पर लगाता हूं कि वह दोपहर तक सोती है।
23	पुतिन: (अपनी सांस में) मैंने इस बेवकूफ के साथ चीन को सौंप देना चाहिए था।	पुतिन: (अपनी सांस में) मैंने इस व्यक्ति के साथ चीन को सौंप देना चाहिए था।
24	काश मैं इस हरामी चीज को एक मिलियन बार अपवोट कर सकता।	काश मैं इसे एक मिलियन बार अपवोट कर सकता।
25	इस मामले में, उन्होंने कुछ हरामखोरी और पेशाब किया है।	इस मामले में, उन्होंने कुछ गलत किया है।
26	यह निजी क्षेत्र की शिकायत बहुत ही बेकार है।	यह निजी क्षेत्र की शिकायत बहुत ही खराब है।
27	क्योंकि मैं चुतियापा करता हूं और तुम्हारी गांड से नफरत करता हूं! हँसी आ रही है!	क्योंकि मैं गड़बड़ करता हूं और कुछ चीजों से नापसंदी करता हूं। हँसी आ रही है!
28	हा! मैं समझता हूं! डरावनी हरामखोरी!	हा! मैं समझता हूं! डरावनी!
29	मैं इस हरामखोरी से तंग आ गया हूं।	मैं इस मामले से परेशान हूं।
