	toxic	neutral
0	así que, este artículo es molesto como la mierda ya que en realidad no enumera los productos a evitar	así que, este artículo es extremadamente molesto ya que en realidad no enumera los productos a evitar
1	sí, pero a ellos no les importa una mierda tanto	sí, pero a ellos no les importa tanto
2	las prioridades de nuestra especie están jodidas	Las prioridades de nuestra especie están desordenadas
3	cada voto por Trump habilitó a un pervertido	cada voto por Trump habilitó a un hombre no bueno
4	¿divertido? debes encontrar mierda en r divertido para ser hilarante	¿divertido? debes encontrar cosas en r divertido para ser hilarante
5	mierda, eres un afortunado hijo de puta	eres un hombre afortunado
6	lo sé, estoy todo obsesionado y mierda ahaa	Lo sé, estoy todo obsesionado y no es justo
7	¡pero sí que tenemos divertidas fiestas de barrio y mierda!	¡Pero sí que tenemos divertidas fiestas de barrio y cosas así!
8	esta mierda se está volviendo loca	Este asunto se está saliendo de control
9	jaja xd llama a mi teléfono! no puedo encontrar a la perra	Jaja xd llama a mi teléfono! No puedo encontrarlo
10	vamos a encontrar a unos jodidos neoyorquinos	Vamos a encontrar a algunos neoyorquinos.
11	por favor, lee la constitución, sonarás menos ignorante.	Entenderás más si lees la constitución.
12	su crimen fue ser lo suficientemente estúpida para confundir civilización y colonización, como aparentemente haces tú.	Su crimen fue confundir civilización y colonización, como aparentemente haces tú.
13	¡ella no necesita esa mierda!	Ella no necesita esto.
14	ese pequeño culo intentó atacarme anoche jaja	Lil intentó atacarme anoche
15	rt acabo de dejar caer el teléfono sobre un paciente - _ - joder	rt acabo de dejar caer el teléfono sobre un paciente - _ -
16	a nadie realmente le importa Facebook ya	a nadie realmente le importa Facebook ya
17	no más oscurecimiento de mierda por motivos de seguridad nacional.	No más oscurecimiento por motivos de seguridad nacional.
18	lls, esa mierda no funciona para mí!	Eso no funciona para mí
19	esta mierda de pc necesita parar.	Estos problemas de pc necesitan parar.
20	la mayoría de la mierda en venta aquí era cosas que encontrarías en la bolsa de basura.	La mayoría de lo que se vende aquí se encuentra en algún lugar inaceptable.
21	no soy falso, simplemente no me jodo con ustedes, idiotas	No soy falso, simplemente no trato con ustedes.
22	¡joder! es solo para retiros	¡Oh! es solo para retiros.
23	los pobres deberían ponerse a trabajar de una puta vez.	los pobres deberían ponerse a trabajar.
24	tenemos que escribir un ensayo y este paquete con ese libro de mierda, estoy en la página 27	tenemos que escribir un ensayo y este paquete escrito en este libro, estoy en la página 27
25	como siempre, él no tiene idea y es un lunático.	como siempre, él no tiene idea y es inestable.
26	joder 10 10 necesitamos trabajos	necesitamos trabajos
27	¿cómo coño le sucede a un chico del oeste?	¿Cómo le sucede a un chico del oeste?
28	y hay muchas razones por las que la mierda es como es en el medio oriente	y hay muchas razones por las que es así en el medio oriente
29	- me alegro de que ahora aprecies completamente lo falsa y estúpida perra que es.	- me alegro de que ahora aprecies completamente lo que es.
