	toxic	neutral
0	я не купив гівно також	я цього не купив також
1	що, до піки, ти маєш на увазі під 'міфічним'?	що ти маєш на увазі під 'міфічним'?
2	я думаю, інформація дійсно важлива, а інформація, що надається на те гівно, не є правдивою.	я думаю, інформація дійсно важлива, а надана інформація не є правдивою.
3	але їм пофіг, якщо ти кажеш, що їздиш на мазді, коли насправді їздиш на мерседесі.	але їм не все одно, якщо ти кажеш, що їздиш на мазді, коли насправді їздиш на мерседесі.
4	іноді я дивуюся, як я можу любити таку гівнюкову команду	іноді я дивуюся, як я можу любити таку погану команду
5	ці клоуни забувають, на кого вони працюють: на громадськість.	ці люди забувають, на кого вони працюють: на громадськість.
6	сором на дурнів, які обертають спиною до насильства і тортури над дітьми.	сором на тих, хто обертає спиною до насильства і тортури над дітьми.
7	ми п'ємо той самий сік, мій ніга?	ми п'ємо той самий сік, мій друг?
8	це гівно буде зареєстровано, проаналізовано і використано проти вас в суді.	це буде зареєстровано, проаналізовано і використано проти вас в суді.
9	чому університети скликають суди через це гівно?	чому університети скликають суди через це?
10	дійсно сумно та жалюгідно, займись собою.	дійсно сумно. займись собою.
11	я не хочу робити жодну єбану громадську роботу!	я не хочу робити жодну громадську роботу.
12	або ти міг би просто єбано дороснути.	або ти міг би просто дороснути.
13	ггг! ггг це було б дуже смішно, бля.	ггг! ггг це було б дуже смішно.
14	я не хочу більше з тобою розмовляти, ти порожньоголовий мийка для кормушок для тварин!	я не хочу більше з тобою розмовляти.
15	ну єб твою мать теж, cbs.	тобі теж, cbs.
16	бля, ти правий, я, мабуть, вже в списку.	ти правий, я, мабуть, вже в списку.
17	ггг це не єбано смішно	ггг це не смішно
18	ооо так, це правильно, маленька плаксива королева, яка вимагає уваги	ооо так, це правильно, плаксива королева, яка вимагає уваги
19	чому я навіть в кулінарній школі, хто єбано знає	чому я навіть в кулінарній школі, хто знає
20	Я кажу, їбіть цих комуняк, надсилайте всю допомогу в Україну і відправте цю російську нечисть назад до Владивостока.	Я кажу, ці комуняки, надсилайте всю допомогу в Україну і відправте росіян назад до Владивостока.
21	Збираюся поїхати кататися або в Ландовер, або в Сіт Плезант сьогодні, відпочивати з хлопцями та говном.	Збираюся поїхати кататися або в Ландовер, або в Сіт Плезант сьогодні, відпочивати з хлопцями та веселощами.
22	Ме, дивлюся якісь божевільні дупи на мережі мультфільмів.	Дивлюся щось на мережі мультфільмів.
23	Це говно - глобальна мережа.	Це глобальна мережа.
24	Чому ти не полюбила моє нове фото, сука? Я з тобою закінчив!	Чому ти не полюбила моє нове фото? Я з тобою закінчив!
25	Залишайся білим і гордим, ти клоун.	Залишайся білим і гордим, ти.
26	Шоколад завтра! Бум єбучий буууум!!	Шоколад завтра!
27	Чувак, у мене укус або гаряча точка! І я пекуся як пекло!	Чувак, у мене укус або гаряча точка, і я дуже пекуся.
28	Чорт забирай, я думаю, він застряг, маленький товстий дупа, хаха	Я думаю, він застряг.
29	Єбать, не з'єднуй свій тамблер з твіттером або фейсбуком, дякую	Будь ласка, не з'єднуй свій тамблер з твіттером або фейсбуком.
