	toxic	neutral
0	我真是个懒屁股((需要戒掉!!!!	我真是太懒了((需要戒掉!!!!
1	真是个彻头彻尾的畜生，直接打他一顿就行了，干嘛要拿斧头杀人！	为什么要拿斧头杀人呢？
2	真他妈的..我不想吵架(我希望不是这样	我不想吵架。我希望不是这样
3	典型的粉红共党畜生，习惯了所有公共的都是无主的。这个洗脑的小屁孩甚至从来没听说过义务劳动。	典型的代表，认为所有公共的都是无主的。这个女孩可能从来没有听说过义务劳动...
4	总的来说，滚蛋吧，你这个蠢货	总的来说，离我远点
5	我决定提前祝贺他..可能那天我做不到((( 	我决定提前祝贺他...可能那天我做不到
6	滚你妈的，你们的视频调查去	我们不需要你们的视频调查
7	这首歌已经有一个很好的俄语翻唱版本了，皮革鹿 - 阿法纳西-流浪者 哦他妈的好歌)	这首歌已经有一个很好的翻唱版本了，皮革鹿 - 阿法纳西，一个无家可归的人，真是太棒了
8	卢卡申科坚持住!!!!你他妈的胡说八道，你是为了人民	卢卡申科坚持住!!!!你是为了人民
9	我真心希望能找到主人。我理解你们，你们的处境不易。希望一切都能以善意解决!!!	我真心希望能找到主人。我理解你们，你们的处境不易。希望一切都能以善意解决!!!
10	这些小伙子是关于关系问题的混蛋 =(	这些小伙子在关系问题上缺乏信息
11	班长是个混蛋，而军官们支持他。	班长在屈服，而军官们在支持他。
12	混蛋们!!! 他们应该在田里劳动，没有退休金!!!	他们应该在田里劳动，没有退休金!!!
13	我有时候很想亲他....但他已经被别人亲了(((	我有时候很想亲他，但他已经被别人亲了
14	我他妈的，我是个傻逼，他们邀请我去咖啡馆，但我没去(((	糟糕，他们邀请我去咖啡馆，但我拒绝了，我真傻
15	明天早上又要开始痛苦的复习了(( 抄写笔记	明天早上我又要开始抄写笔记了
16	鼠标是个混蛋，无法玩游戏!(((	鼠标坏了，无法玩游戏
17	我真想把这个丑陋的家伙的头撕下来，👎 👎 👎	我真想惩罚他
18	还有我喉咙痛!!! 真是 '他妈的':((((((((((((((((我什么都不想做!!!! :((((((((((((((((((((( 	还有我喉咙痛!!! 真是 '棒极了':((((((((((((((((我什么都不想做!!!! :(((((((((((((((((((((
19	我又拉伸了，又撕破了衬衫，该死(	我又拉伸了，又撕破了衬衫(
