	toxic	neutral
0	Es nervt, wenn etwas nicht klappt =(((( alles zum Teufel, verdammt	Es nervt, wenn etwas nicht klappt =(((
1	Mein Gott, Serjko ist auch hier.......( Verdammt	Mein Gott, Serjko ist auch hier.......( Das ist verrückt
2	Gerade jetzt hatte ich den Drang aus dem Fenster zu schauen!!!! Scheiße... ich weine((	Gerade jetzt hatte ich den Drang aus dem Fenster zu schauen!!!! Ich weine((
3	Ihr verdammten Bastarde, wo ist euer Artikel?	Wo ist euer Artikel?
4	Ich habe diesen täglichen Spam satt, und die Idioten, die sich über Spam freuen! Warum werden diese widerlichen Spammer und ihre Schleimer nicht blockiert?	Ich bin diesen täglichen Spam leid, und die Leute, die ihn versenden. Warum werden sie nicht blockiert?
5	Drei Stunden sitzen und hören, was für ein Idiot ich bin, was man nicht alles für eine verdammte Prüfung macht(	Drei Stunden sitzen und hören, was für ein Dummkopf ich bin, was man nicht alles für eine Prüfung macht(
6	Ich hasse diese Abschlussprüfung!!!!!!!!!!!! Aber ich muss es tun.........(	Ich mag diese Abschlussprüfung nicht!!!!!!!!!!!! Aber ich muss es tun
7	VERDAMMT! NEIN, NICHT DAS!!!! MEIN KLEID IST WEG :((( WO FINDE ICH SO EINS !!!???? VERDAMMT, NICHT DAS!! WARUM AUSGERECHNET DAS??	NEIN, NICHT DAS!!!! MEIN KLEID IST WEG :((( WO FINDE ICH SO EINS !!!???? NICHT DAS!! WARUM AUSGERECHNET DAS??
8	Im wahrsten Sinne des Wortes, so ein Land! Schwuchteln an der Macht!	Im wahrsten Sinne des Wortes, so ein Land! Unwürdige Leute an der Macht!
9	aaaa , scheiße, ich habe mich an der Ecke gestoßen ((	aaaa , das tut weh, ich habe mich an der Ecke gestoßen ((
10	20 Jahre Durchbrüche und Rucke und am Ende in voller Scheiße. Ein Wort Fotzenbolzen und Schwätzer	Zwanzig
11	HALT, ICH HABE KEINE ZEICHNUNGEN, DESHALB HABE ICH NICHT GEWORFEN(((	Halt, ich habe keine Zeichnungen, deshalb habe ich nicht geworfen
12	Aber Nordkorea konnten die Scheißamerikaner gerade nicht einnehmen)))	Aber Nordkorea konnten die Amerikaner gerade nicht einnehmen
13	FICK, WAS IST MIT MEINEM TWITTER PASSIERT? O_O	Was ist mit meinem Twitter passiert O_O
14	Ich habe den Brief von Okhlobystin an den Präsidenten gelesen. Schade, dass Vanya sich als echter Kampfschwuler herausgestellt hat:( #…	Ich habe den Brief von Okhlobystin an den Präsidenten gelesen. Schade, dass Vanya nicht recht hatte.
15	Nicht scheißen - das ist das Los von Abgeordneten und Ministern	Nicht lügen ist das Los von Abgeordneten und Ministern
16	Woher kommt ihr verdammten Huren	Woher kommt ihr denn?
17	Die beschissenste Nachricht in letzter Zeit:(	Die schlechteste Nachricht in letzter Zeit
18	Deine Mutter! Wofür zum Teufel? Nicht genug Schnupfen und Husten, jetzt fangen die Augen an zu eitern!!! Er kann sie nicht öffnen( alles so rechtzeitig!	Nicht genug Schnupfen und Husten, jetzt fangen die Augen an zu eitern. Er kann sie nicht öffnen. Alles so rechtzeitig.
19	Das ist der Arsch der Welt! Einen Diätassistenten ins Studio!!!! und einen Friseur!!!! Sie hat Geld, gibt aber nichts für sich aus, spart, wartet))))))))))))))	Einen Diätassistenten ins Studio!!!! und einen Friseur!!!! Sie hat Geld, gibt aber nichts für sich aus, spart, wartet))))))))))))))
