	toxic	neutral
0	मैं नी किरासिन, भेनचोद (999(9((((( स्काप्ज़द्स	मैं नी किरासिन (999(9((((( बहुत बुरा
1	यह बिल्कुल बकवास है, अभी कुत्ता उसे खा रहा है :(	अभी कुत्ता उसे खा रहा है
2	वे समय खींच रहे हैं और जेल की सजा स्वतंत्रता पर जा रही है, भेनचोद, जो चाहे खाता है, जैसा चाहे हगता है. बेड में सोता है,	वे समय खींच रहे हैं, और सजा स्वतंत्रता पर जा रही है. वे आराम से खाते और सोते हैं, जैसा चाहें वैसे जीते हैं.
3	ठीक है, मैं तुम्हारे होर्न्स तोड़ने जा रहा हूं! (अन्यथा दुनिया कैसे बचाएं??? ... पुराने समाधान और ज्ञान आज की समस्याओं का समाधान नहीं कर रहे हैं! मुझे लड़ाई पसंद नहीं है (	ठीक है, मैं तुम्हारी जिद तोड़ने जा रहा हूं! (अन्यथा दुनिया कैसे बचाएं??? ... पुराने समाधान और ज्ञान आज की समस्याओं का समाधान नहीं कर रहे हैं! मुझे लड़ाई पसंद नहीं है (
4	अच्छा हुआ तुम्हे चांटा नहीं लगा भोसडीके	अच्छा हुआ तुम्हे सजा नहीं मिली
5	बहस के घंटे बज गए क्योंकि ये चूतिया अंधे हैं हाहाहाहाहाहाहा	बहस के घंटे बज गए क्योंकि वे अंधे हैं हाहाहाहाहाहाहा
6	फिर तुम्हारी बकवास क्यों है आहा, उक्रेनियाई...	फिर तुम्हारी सभी टिप्पणियां क्यों हैं?
7	भोसडीके ज्यामिति, कुछ भी नहीं हो रहा है(	बकवास ज्यामिति, कुछ भी नहीं हो रहा है
8	इस चक्के को फीड से हटाओ, मैं इस बंदर को देखना नहीं चाहता	कृपया इस व्यक्ति को फीड से हटाएं। मैं उसे देखना नहीं चाहता।
9	मैं बहुत ठंड में हूं :( सिर दर्द हो रहा है, और मैंने अभी तक पाठ्यक्रम नहीं पढ़ा..	मैं बहुत ठंड में हूं :( सिर दर्द हो रहा है, और मैंने अभी तक पाठ्यक्रम नहीं पढ़ा..
10	प्रिदुर्की गलती हर बार टाइप करते हैं, स्पष्ट रूप से कहते हैं, स्पष्ट रूप से छापते हैं, प्रिदुर्की जाहिर है कि व्यर्थ नहीं है	गलती हर बार टाइप करते हैं, स्पष्ट रूप से कहते हैं, स्पष्ट रूप से छापते हैं। जाहिर है, व्यर्थ नहीं है।
11	तुम मूर्ख हो, और नहीं देखते कि क्या हो रहा है, अवरोध करने का रास्ता, और ब्रोनेविक!	तुम नहीं देखते कि क्या हो रहा है, क्रांति का समय आ गया है
12	कुतिया! फिर से बिजली काट दी! :(	फिर से बिजली काट दी! :(
13	जो मास्क नहीं पहनेगा, उसे लंबी रस्सी पर फांसी दी जाएगी! त्फ़ू.	जो मास्क नहीं पहनेगा, उसे दंडित किया जाएगा
14	नहीं, बस पिंकी-गोब्लिं तक निम्न स्तर के डिसलाइक भी नहीं बढ़ा सकते।	वे तक निम्न स्तर के डिसलाइक भी नहीं बढ़ा सकते।
15	-300 बोलो! -तीन सौ. -कुतिया, गंदी कुतिया((( 	-300 बोलो! -तीन सौ.(((
16	मैंने इस बदसूरत को बाथरूम में भेज दिया	मैंने उसे बाथरूम में भेज दिया
17	, ब्ल्याद. परसो मैंने वहाँ हजार रुपये का सर्टिफिकेट खर्च किया( दुःखजलन	परसो मैंने वहाँ हजार रुपये का सर्टिफिकेट खर्च किया। मुझे दुःख और ईर्ष्या हो रही है।
18	यहाँ तक कि मक्खियाँ भी सेक्स करती हैं...लेकिन मैं नहीं(( 	यहाँ तक कि मक्खियों के पास भी सेक्स है, लेकिन मेरे पास नहीं
19	अमेरिकियों के पास भी घटिया पाय होते हैं, जो केवल घृणा पैदा करते हैं	अमेरिकियों के पास भी बेस्वाद पाय होते हैं, जो खाने की इच्छा नहीं उत्पन्न करते हैं:
