	toxic	neutral
0	Me lleva como mierda después	Me lleva mucho después
1	Encontrar a este hombre y arrancarle sus cojones	Encontrar a este hombre y castigarlo
2	JAJAJAJAJAJAJODER NECESITO APRENDER UN POEMA JODER :( VOY A IR, LA NOCHE SERÁ DIVERTIDA	Necesito aprender un poema :( Voy a ir, la noche será divertida
3	Llamen a las cosas por su nombre, dos maricones en el césped	Llamen a las cosas por su nombre
4	¡¡¡¡¡37 despegues en 10 minutos!!!!! chupen culo, bestias	37 despegues en 10 minutos
5	sí, debería haberle dado una paliza en el campo como Shirokov	sí, debería haberle marcado en el campo como Shirokov
6	¿Y dónde coño estaba este héroe antes con sus pruebas?	¿Y dónde estaba este héroe antes con sus pruebas?
7	-Ya te está creciendo la barba... -Bueno, pf -Y yo ando con bigotes de maricón... -¡CUANDO DEJES DE JODER, CRECERÁ! -JAJAJA -JAJA	Ya te está creciendo la barba -Bueno, pf -Y yo ando con bigotes -Cuando dejes de molestar, crecerá
8	El mundo es injusto :( odio mi espalda tttt odio. odio. puta, lárgate a la mierda.	El mundo es injusto, no me gusta mi espalda, lárgate
9	ES UN JODIDO IDIOTA ((((ANALFABETO(	Es totalmente analfabeto:
10	Joder, Dota no funciona, todo se va a la mierda, ahora tendré que dormir por las noches	Dota no funciona, ahora tendré que dormir por las noches
11	¡¡Van a confiscar los ahorros sospechosos de los ciudadanos al fondo de pensiones!! ¡¡Están jodidamente locos!! Hay que hacer algo con estos maricones.	¡¡Van a confiscar los ahorros sospechosos de los ciudadanos al fondo de pensiones!! ¡¡Están completamente locos!! Hay que hacer algo con estos.
12	PUTA PUTA, ¿por qué desaparecí otra vez? ((Ya es ofensivo	¿Por qué desaparecí otra vez? Es ofensivo
13	No sé qué coño hacer ((((ahora lo sabré	No sé qué hacer ((((ahora lo sabré
14	JODER, SOY UN IDIOTA, ME INVITARON A IR A UN CAFÉ, Y NO FUI (((	ME INVITARON A IR A UN CAFÉ, Y NO FUI (((
15	En Ucrania todo se va a la mierda... todo en Polonia, allí pagan impuestos..	En Ucrania todo va mal... todo en Polonia, allí pagan impuestos..
16	FELIZ CUMPLEAÑOS TÍO!!11! FELICIDAD, PUTA, DROGAS, ALCOHOL Y UNICORNIOS :z	FELIZ CUMPLEAÑOS TÍO!!1!!! Felicidad, mujeres, placer, alcohol y unicornios
17	Joder :( A dónde se dirige el mundo :/	A dónde se dirige el mundo
18	Quería escribir sobre urbanistas y maricones, pero me lo pensé mejor :(	Quería escribir sobre urbanistas y homosexuales, pero me lo pensé mejor
19	Eres un jodido idiota, todo te disgusta	Todo te disgusta
