	toxic	neutral
0	"Я подивився свої фотки в ""twitter"" і зрозумів, що фоткаю сюди всяку хуйню :|"	"Я подивився свої фотки в ""twitter"" і зрозумів, що фоткаю сюди всяку дурню :|"
1	це що за єбанутий на висоті?	Це що за людина на висоті?
2	Андрій взагалі засранець, не дав відпочити на ньому((	Андрій поганий, не дав відпочити на ньому.
3	хочу багато подарунків, ласк і святкової атмосфери, а не хуй хуй хуй :(	Хочу багато подарунків, ласк і святкової атмосфери, а не це
4	це що за курва в котелку?	Що за дівчина в котелку?
5	підор країна ну по тому що хто за кермом	Країна така, тому що хто за владою - то
6	ЙОМУ УСМІХАЙТЕСЯ, А ТАК НІТ(((	ЙОМУ УСМІХАЙТЕСЯ
7	тупиця краще пристрелити 10 і решта стада втекти, ніж отримати громадянську війну і де вже загинуть тисячі	Краще пристрелити 10 і решта втекти, ніж отримати громадянську війну і де вже загинуть тисячі
8	а ваз це уєбіще не обігнати не в аварії вижити	а ваз не обігнати не в аварії вижити
9	Я знову проєбав 19к.Треба дуже постаратися і не проєбати 20к.Що ж я за лох такий?(((	Я знову спустив 19к.Треба дуже постаратися і не спустити 20к.Що ж я за неудачник такий?(((
10	піздюки, навіть webmoney у них немає :(	Навіть webmoney у них немає
11	ЯЖИВУВСТРАХУ НЕНАВИДЖУ КІНЕЦЬ СЕМЕСТРА!!!!:(	Я живу в страху, не люблю кінець семестра.
12	і цей в депутати лізе ну як не алкаш так підарас ганьба співав би свої срані пісні чмошник	і співак хоче стати депутатом, краще б співав пісні
13	герой буданов а кержаков хуй.о з мільйонами зарплати!!!!!	Герой Буданов, а Кержаков ні, але з мільйонною зарплатою!
14	а че не пропонував зменшити,підор.	А че не пропонував зменшити
15	Так ось не цікаво так взагалі . Ненавиджу тебе ! Прийшов пішов !Як я почала ! Піздец !Дратуєш !Аа:(	Так ось не цікаво так взагалі. Прийшов пішов !Як я почала ! Аа:(
16	нарешті закінчив чистити цей ёбаний сніг. Через нього пропустив час загадувати бажання . Все піздец я буду нещасний (((	Нарешті закінчив чистити цей дурний сніг, через нього пропустив час загадувати бажання. Все капец я буду нещасний
17	Так не буду я тобі ніхуя шукати, загальновідома інфа	Так не буду я тебе шукати, загальновідома інфа
18	от прийде якийсь хер, і все зіпсує!( тю-тю мані-мані(	От прийде якийсь нехороший людина і все зіпсує! Немає грошей (
19	Я ПРИЙШОВ!!!!! БЛЯ, ВИБАЧАЮСЬ ЩО ДОВГО (((	Я ПРИЙШОВ!!!!! ВИБАЧАЮСЬ ЩО ДОВГО (((
